phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfTest,condition
study,do you think this one is an animal?,1,BI2A00045,skip,NaN,22880,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,2,BI2A00034,skip,NaN,14199,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,3,BI2A00040,skip,NaN,9477,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,4,BI2A00032,skip,NaN,11427,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,5,BI2A00016,skip,NaN,10416,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,6,BI2A00038,skip,NaN,11422,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,7,BI2A00037,skip,NaN,7475,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,8,BI2A00002,skip,NaN,18446,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,9,BI2A00013,skip,NaN,8658,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,10,BI2A00041,skip,NaN,4475,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,11,BI2A00006,skip,NaN,7380,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
study,do you think this one is an animal?,12,BI2A00004,skip,NaN,5334,p03,Fri Feb 27 2015 14:15:56 GMT-0800 (PST),set2
