phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfTest,condition
study,do you think this one is an animal?,1,BI2A00015,skip,NaN,14314,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,2,BI2A00008,skip,NaN,5331,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,3,BI2A00014,skip,NaN,4317,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,4,BI2A00033,skip,NaN,11763,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,5,BI2A00031,skip,NaN,20431,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,6,BI2A00030,skip,NaN,13259,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,7,BI2A00047,skip,NaN,6137,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,8,BI2A00046,skip,NaN,5069,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,9,BI2A00020,skip,NaN,7038,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,10,BI2A00003,skip,NaN,5266,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,11,BI2A00043,skip,NaN,24703,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
study,do you think this one is an animal?,12,BI2A00028,skip,NaN,6251,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
bonus,do you think this can feel happy?,13,BI2A00043,skip,NaN,12049,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
bonus,do you think this one can feel pain?,14,BI2A00008,skip,NaN,6863,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
bonus,do you think this one can think?,15,BI2A00031,skip,NaN,6581,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
bonus,do you think this one can feel hungry?,16,BI2A00046,skip,NaN,7873,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
bonus,do you think this one can sense things nearby?,17,BI2A00003,skip,NaN,12623,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
bonus,do you think this one has feelings?,18,BI2A00020,skip,NaN,5750,p02,Fri Feb 27 2015 14:03:53 GMT-0800 (PST),set1
