phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,timeOfTest,condition
practice,NA,1,apple_1,skip,NaN,13842,p18,,3/6/2015,15:44,set4
practice,NA,2,apple_2,skip,NaN,3388,p18,,3/6/2015,15:44,set4
practice,NA,3,apple_3,skip,NaN,3393,p18,,3/6/2015,15:44,set4
practice,NA,4,apple_1,skip,NaN,11068,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,5,BI2A00042,maybe NO,-0.5,17162,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,6,BI2A00029,maybe NO,-0.5,12335,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,7,BI2A00022,maybe YES,0.5,12792,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,8,BI2A00024,probably YES,1.5,16133,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,9,BI2A00012,maybe YES,0.5,11909,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,10,BI2A00039,probably NO,-1.5,9413,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,11,BI2A00021,probably NO,-1.5,5207,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,12,BI2A00011,probably YES,1.5,6849,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,13,BI2A00048,probably NO,-1.5,9590,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,14,BI2A00023,maybe YES,0.5,8137,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,15,BI2A00001,probably YES,1.5,7563,p18,,3/6/2015,15:44,set4
study,do you think this one is an animal?,16,BI2A00009,probably YES,1.5,7710,p18,,3/6/2015,15:44,set4
bonus,Do you think this one can feel pain?,17,BI2A00048,maybe NO,-0.5,13445,p18,,3/6/2015,15:44,set4
bonus,Do you think this one has feelings?,18,BI2A00023,probably NO,-1.5,9357,p18,,3/6/2015,15:44,set4
bonus,Do you think this can feel happy?,19,BI2A00011,probably YES,1.5,9590,p18,,3/6/2015,15:44,set4
bonus,Do you think this one can sense things nearby?,20,BI2A00022,probably NO,-1.5,10901,p18,,3/6/2015,15:44,set4
bonus,Do you think this one can feel hungry?,21,BI2A00039,probably NO,-1.5,8564,p18,,3/6/2015,15:44,set4
bonus,Do you think this one can think?,22,BI2A00009,probably NO,-1.5,5471,p18,,3/6/2015,15:44,set4
