phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfTest,condition
study,do you think this one is an animal?,1,BI2A00005,skip,NaN,39040,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,2,BI2A00010,skip,NaN,13442,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,3,BI2A00017,skip,NaN,20082,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,4,BI2A00035,skip,NaN,10121,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,5,BI2A00025,skip,NaN,16557,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,6,BI2A00007,skip,NaN,11654,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,7,BI2A00019,skip,NaN,27121,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,8,BI2A00036,skip,NaN,12594,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,9,BI2A00044,skip,NaN,26550,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,10,BI2A00026,skip,NaN,23910,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,11,BI2A00027,skip,NaN,13992,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
study,do you think this one is an animal?,12,BI2A00018,skip,NaN,8123,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
bonus,do you think this one can feel pain?,13,BI2A00007,skip,NaN,10646,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
bonus,do you think this one can think?,14,BI2A00017,skip,NaN,8386,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
bonus,do you think this can feel happy?,15,BI2A00035,skip,NaN,29856,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
bonus,do you think this one can sense things nearby?,16,BI2A00018,skip,NaN,14958,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
bonus,do you think this one can feel hungry?,17,BI2A00044,definitely NO,-2.5,9623,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
bonus,do you think this one has feelings?,18,BI2A00005,skip,NaN,11020,p08,Fri Feb 27 2015 16:05:19 GMT-0800 (PST),set3
